ID,NAME,PROF,TIME1,TIME2,CREDITS,YEAR
ME251-01,재료역학,이경엽,월 15:00-16:15 (공B104호),수 15:00-16:15 (공B104호),3,2
ME251-02,재료역학,허윤정,월 15:00-16:15 (공142-2호),수 15:00-16:15 (공142-2호),3,2
ME251-03,재료역학,최동휘,화 15:00-16:15 (공B104호),목 15:00-16:15 (공B104호),3,2
ME477-01,전산역학,구준모 / 이병찬 / 서종민,월 13:30-14:45 (실216호),수 13:30-14:45 (실216호),3,4
ME202-01,공학수학2,이원구,화 10:30-11:45 (공142-2호),목 10:30-11:45 (공142-2호),3,2
ME202-02,공학수학2,김형진,화 10:30-11:45 (공B104호),목 10:30-11:45 (공B104호),3,2
ME202-03,공학수학2,김종우,화 16:30-17:45 (공149호),목 16:30-17:45 (공176호),3,2
ME118-01,프로그래밍입문,이병찬,월 10:30-11:45 (공B104호),수 10:30-11:45 (공B104호),3,1
ME118-02,프로그래밍입문,정신규,월 15:00-16:15 (공176호),수 15:00-16:15 (공176호),3,1
ME118-03,프로그래밍입문,허윤정,화 13:30-14:45 (공142-2호),목 13:30-14:45 (공142-2호),3,1
ME118-04,프로그래밍입문,김두호,화 13:30-14:45 (공176-3호),목 13:30-14:45 (공176-3호),3,1
ME118-05,프로그래밍입문,서종민,월 10:30-11:45 (공176-4호),수 10:30-11:45 (공176-4호),3,1
ME118-06,프로그래밍입문,이병찬,월 09:00-10:15 (공142-2호),수 09:00-10:15 (공142-2호),3,1
CE351-00,건설계획및관리,이석근,금 09:00-11:45 (공150호),,3,3
CE377-01,구조역학,황의승,월 13:30-14:45 (공150호),수 13:30-14:45 (공150호),3,3
CE377-02,구조역학,황의승,월 15:00-16:15 (공150호),수 15:00-16:15 (공150호),3,3
CE275-00,유체역학,강두선,월 10:30-11:45 (공150호),수 10:30-11:45 (공150호),3,2
CE400-00,졸업논문(사회기반시스템공학),남부현,토 09:00-09:50 (),,0,4
CE378-00,철근콘크리트공학및설계,정원석,화 10:30-11:45 (공150호),목 10:30-11:45 (공150호),3,3
CE474-00,강구조공학,주부석,화 13:30-14:45 (공150호),목 13:30-14:45 (공150호),3,4
CE475-00,도로공학,신용석,금 15:00-17:45 (공B101호),,3,4
CE485-01,사회기반시스템디자인1,주부석,화 16:30-19:15 (공365호),,3,4
CE485-02,사회기반시스템디자인1,강두선,화 16:30-19:15 (공127호),,3,4
CE485-03,사회기반시스템디자인1,정영훈,화 16:30-19:15 (공363호),,3,4
CE371-00,상수도공학,고석오,월 10:30-11:45 (공B101호),수 10:30-11:45 (공B101호),3,3
CE380-00,수문학,강두선,월 16:30-17:45 (공150호),수 16:30-17:45 (공150호),3,3
CE273-00,수치해석및실습,김석현,화 10:30-12:20 (공145호),목 10:30-12:20 (공244호실),3,2
CE301-00,연구연수활동1(사회기반시스템공학),남부현,토 13:30-15:20 (공150호),,1,"3,4"
CE277-01,재료역학및실험,김성민,월 13:30-15:20 (공B101호),수 13:30-15:20 (공B101호),3,2
CE277-02,재료역학및실험,김성민,월 15:30-17:20 (공B101호),수 15:30-17:20 (공B101호),3,2
CE476-00,지반재해와지반공학,송영우,금 09:00-11:45 (공369호),,3,4
CE379-00,흙의전단강도및실험,정영훈,화 13:00-14:50 (공B101호),목 13:00-14:50 (공B101호),3,3
CE201-00,공학수학,남부현,월 09:00-10:15 (공B101호),수 09:00-10:15 (공B101호),3,1
CE202-00,공학통계학,이상우,화 16:30-19:15 (공150호),,3,2
CE100-00,공학프로그래밍입문,김석현,화 09:00-10:15 (공127호),목 09:00-10:15 (공127호),3,1
IE301-00,경영과학1,박명주,화 12:00-13:15 (공367호),목 12:00-13:15 (공367호),3,3
IE301-01,경영과학1,박명주,화 13:30-14:45 (공367호),목 13:30-14:45 (공367호),3,3
IE400-00,졸업논문(산업경영공학),박명주,- (),,0,4
IE423-01,창의적종합설계1(산업경영공학),반상우,화 15:00-16:15 (공148호),목 15:00-16:15 (공148호),3,4
IE423-02,창의적종합설계1(산업경영공학),엄주명,화 15:00-16:15 (공469호),목 15:00-16:15 (공469호),3,4
IE410-00,CAD/CAM,엄주명,화 09:00-10:15 (공176-4호),목 09:00-10:15 (공176-4호),3,4
IE429-00,경영경제데이터분석,최현홍,화 16:30-17:45 (공148호),목 16:30-17:45 (공148호),3,4
IE201-00,경제성공학,최인수,화 17:50-19:05 (공B101호),목 17:50-19:05 (공B101호),3,2
IE315-00,공급사슬관리,김동욱,금 15:00-17:45 (공371호),,3,3
IE329-00,금융공학,최인수,화 16:30-17:45 (공B101호),목 16:30-17:45 (공B101호),3,3
IE304-00,기술경영,신정우,월 15:00-16:15 (공367호),수 15:00-16:15 (공367호),3,3
IE306-00,데이터마이닝,진창호,화 10:30-11:45 (공148호),목 10:30-11:45 (공148호),3,3
IE213-00,데이터베이스,정재윤,월 15:00-16:15 (공148호),수 15:00-16:15 (공148호),3,2
IE215-00,데이터사이언스,진창호,월 10:30-11:45 (공367호),수 10:30-11:45 (공367호),3,2
IE215-01,데이터사이언스,진창호,월 12:00-13:15 (공367호),수 12:00-13:15 (공367호),3,2
IE320-00,독립심화학습1(산업경영공학과),최현홍,금 16:00-18:25 (공469호),,3,"3,4"
IE428-00,머신러닝,김영훈,월 10:30-11:45 (공148호),수 10:30-11:45 (공148호),3,4
IE411-00,연구연수활동1(산업경영공학),박명주,토 13:30-15:20 (공367호),,1,4
IE308-00,인간공학,반상우,월 16:30-17:45 (공176호),수 16:30-17:45 (공176호),3,3
IE407-00,컴퓨터시뮬레이션,전현우,화 13:30-14:45 (공244호실),목 13:30-14:45 (공244호실),3,4
IE203-00,공학수학1,최현홍,화 13:30-14:45 (공148호),목 13:30-14:45 (공148호),3,2
IE203-01,공학수학1,신정우,월 16:30-17:45 (공148호),수 16:30-17:45 (공148호),3,2
IE103-00,산업경영공학의이해,반상우,월 12:00-13:15 (공B102호),수 12:00-13:15 (공B102호),3,1
IE207-00,실험통계학,전현우,화 09:00-10:15 (공367호),목 09:00-10:15 (공367호),3,2
IE207-01,실험통계학,전현우,화 10:30-11:45 (공367호),목 10:30-11:45 (공367호),3,2
NE441-00,방사성폐기물관리,정재학,화 10:30-11:45 (공142-1호),목 10:30-11:45 (공142-1호),3,4
NE351-00,보건물리,김광표,월 09:00-10:15 (공B103호),수 09:00-10:15 (공B103호),3,3
NE322-00,원자로계통공학,김형대,화 10:30-11:45 (공365호),목 10:30-11:45 (공365호),3,3
NE311-00,원자로이론I,박호진,월 10:30-11:45 (공365),수 10:30-11:45 (공365),3,3
NE402-00,졸업논문(원자력공학전공),장근옥,토 09:00-09:50 (공365호),,0,4
